cluster theme,article ids,news_articles_ids,later_news_article_ids,all_less_than_3_months_before_later,news_less_than_3_months_before_later
DeepSeek R1 launch & AI-stock selloff (Jan 2025),2669 2670 2673 2677 2681 2682 2684 2685 2687 2689 2694 2695 2698 2699 2700 2702 2715 2716 2718 2723 2727 2729 2731 2735 2736 2737 2739 2740 2741 2742 2744 2746 2747 2750 2760 2764 2765 2773 2774 2775 2779 2781 2782 2785 2787 2791 2792 2793 2795 2796 2797 2798 2812 2814 2815 2816 2817 2818 2830 2836 2837 2839 2840 2842 2845 2854 2855 2856 2860 2861 2862 2865 2868 2871 2873 2875 2876 2877 2879 2886 2887 2888 2891 2895 2898 2899 2904 2906 2908 2910 2912 2914 2919 2922 2925 2932 2935 2936 2947 2948 2949 2950 2953 2955 2966 2983 2986 2989 2991 2992 2994 2998 3002 3003 3007 3008 3013 3017 3021 3023 3034,2669 2673 2677 2685 2687 2689 2716 2723 2747 2773 2781 2785 2792 2840 2845 2861 2862 2895 2898 2906 2919 2947 2949 2953 3002,3002,2669 2670 2673 2677 2681 2682 2684 2685 2687 2689 2694 2695 2698 2699 2700 2702 2715 2716 2718 2723 2727 2729 2731 2735 2736 2737 2739 2740 2741 2742 2744 2746 2747 2750 2760 2764 2765 2773 2774 2775 2779 2781 2782 2785 2787 2791 2792 2793 2795 2796 2797 2798 2812 2814 2815 2816 2817 2818 2830 2836 2837 2839 2840 2842 2845 2854 2855 2856 2860 2861 2862 2865 2868 2871 2873 2875 2876 2877 2879 2886 2887 2888 2891 2895 2898 2899 2904 2906 2908 2910 2912 2914 2919 2922 2925 2932 2935 2936 2947 2948 2949 2950 2953 2955 2966 2983 2986 2989 2991 2992 2994 2998 3002,2669 2673 2677 2685 2687 2689 2716 2723 2747 2773 2781 2785 2792 2840 2845 2861 2862 2895 2898 2906 2919 2947 2949 2953 3002
Stargate $500B AI infrastructure project (Jan 2025),2492 2510 2525 2532 2536 2537 2539 2540 2542 2544 2546 2547 2563 2583 2592 2599 2606 2632 2638 2665 2684 2694 2700 2703 2718 2721 2785 2908 2919 2989 3007 3060 3077 3112 3123 3215 3319,2492 2525 2536 2563 2592 2606 2665 2785 2919,2919,2492 2510 2525 2532 2536 2537 2539 2540 2542 2544 2546 2547 2563 2583 2592 2599 2606 2632 2638 2665 2684 2694 2700 2703 2718 2721 2785 2908 2919,2492 2525 2536 2563 2592 2606 2665 2785 2919
Nvidia Q3 FY2025 earnings & reaction (Nov 2024),560 568 576 579 585 590 602 603 606 619 622 626 630 631 635 642 649 653 656 666 669 681 686 689 691 692 693 698 702 719 733 736 739 747 748 753 756 762 765 768 769 776 779,568 631 653 666 692 693 719 756 765,765,560 568 576 579 585 590 602 603 606 619 622 626 630 631 635 642 649 653 656 666 669 681 686 689 691 692 693 698 702 719 733 736 739 747 748 753 756 762 765 768 769,568 631 653 666 692 693 719 756 765
Nvidia Q4 FY2025 earnings & reaction (Feb 2025),3612 3640 3657 3658 3661 3667 3670 3680 3683 3686 3690 3698 3700 3707 3708 3721 3729 3730 3736 3738 3740 3745 3753 3759 3766 3774 3785 3791 3793 3795 3801 3824 3830 3842 3844 3847 3848,3661 3667 3683 3690 3698 3721 3738 3791 3847,3847,3612 3640 3657 3658 3661 3667 3670 3680 3683 3686 3690 3698 3700 3707 3708 3721 3729 3730 3736 3738 3740 3745 3753 3759 3766 3774 3785 3791 3793 3795 3801 3824 3830 3842 3844 3847,3661 3667 3683 3690 3698 3721 3738 3791 3847
Nvidia Q1 FY2026 earnings (late May 2025),6149 6153 6155 6156 6160 6163 6165 6169 6170 6172 6179 6185 6191 6193 6203 6204 6205 6217 6230 6232 6234 6235 6236 6240 6242 6243 6244 6245 6252 6254 6268 6270,6155 6156 6163 6179 6191 6193 6203 6205 6217 6235 6240,6240,6149 6153 6155 6156 6160 6163 6165 6169 6170 6172 6179 6185 6191 6193 6203 6204 6205 6217 6230 6232 6234 6235 6236 6240 6242 6243 6244 6245,6155 6156 6163 6179 6191 6193 6203 6205 6217 6235 6240
TSMC Arizona fab yields milestone,156 276 2770 3179 7060 8165 8707 10229 10502 10719 11188 11432 12027 12175 12287 13685 13769 13862 13925 14326 14417 14511 14788 15844 16705 18847 19665,156 10719 11188 11432 12027 12175 13769 13862 14788 15844 19665,19665,15844 16705 18847 19665,15844 19665
Trump semiconductor / chip tariffs,1473 2111 2599 2900 3158 3766 4507 4671 4676 4690 4755 4768 4772 4779 4785 4848 4915 4948 4969 4992 5026 5057 5079 5238 5257 5369 5387 5510 5533 5624 5640 5675 5721 5826 5857 6121 6235 7203 7571 8137 8165 8179 8330 8426 8625 10500 13262 14465 18293,4690 4948 5624 6235 7571 8137 8179,8179,5721 5826 5857 6121 6235 7203 7571 8137 8165 8179,6235 7571 8137 8179
Trump 'reciprocal' tariffs market selloff (Apr 2025),4636 4638 4640 4669 4671 4676 4677 4688 4690 4710 4713 4716 4720 4721 4722 4750 4755 4757 4758 4760 4768 4772 4779 4782 4785 4790 4795 4814 4829 4832 4844 4848 4850 4862 4864 4865 4877 4898 4912 4915,4690 4862,4862,4636 4638 4640 4669 4671 4676 4677 4688 4690 4710 4713 4716 4720 4721 4722 4750 4755 4757 4758 4760 4768 4772 4779 4782 4785 4790 4795 4814 4829 4832 4844 4848 4850 4862 4865,4690 4862
Intel CEO Gelsinger departure (Dec 2024),977 979 1022 1075 1085 1179 1228 1312 1476 1489 1544,977 1022 1489,1489,977 979 1022 1075 1085 1179 1228 1312 1476 1489,977 1022 1489
Intel names Lip-Bu Tan CEO (Mar 2025),4177 4186 4196 4213 4235 4318 4335 4375 4541,4186 4196 4235 4335,4335,4177 4186 4196 4213 4235 4318 4335,4186 4196 4235 4335
