cluster theme,article ids,news_articles_ids,later_news_article_ids,all_less_than_3_months_before_later,news_less_than_3_months_before_later
Stargate $500B AI infrastructure announcement (Jan 2025),2492 2510 2532 2535 2536 2537 2539 2540 2542 2544 2546 2547 2563 2568 2583 2592 2606,2492,2606,2492 2510 2532 2535 2536 2537 2539 2540 2542 2544 2546 2547 2563 2568 2583 2592 2606,2492
DeepSeek R1 model launch & AI selloff (Jan 2025),2669 2670 2673 2677 2681 2682 2684 2685 2687 2689 2694 2695 2698 2699 2700 2702 2715 2716 2718 2723 2727 2729 2731 2735 2736 2737 2739 2740 2741 2742 2744 2746 2747 2750 2760 2764 2765 2773 2774 2775 2779 2781,2723,2765,2669 2670 2673 2677 2681 2682 2684 2685 2687 2689 2694 2695 2698 2699 2700 2702 2715 2716 2718 2723 2727 2729 2731 2735 2736 2737 2739 2740 2741 2742 2744 2746 2747 2750 2760 2764 2765 2773 2774 2775 2779 2781,2723
Palantir Q4 2024 earnings & rally (Feb 2025),2931 2957 2965 2967 2972 3035 3044 3050 3074 3084 3089 3094 3120 3122 3159,,3159,2931 2957 2965 2967 2972 3035 3044 3050 3074 3084 3089 3094 3120 3122 3159,
Nvidia Q3 FY2025 earnings (Nov 2024),619 630 649 656 666 686 691,,691,619 630 649 656 666 686 691,
Nvidia Q4 FY2025 earnings (Feb-Mar 2025),3670 3686 3698 3708 3727 3730 3745 3785,,3785,3670 3686 3698 3708 3727 3730 3745 3785,
Nvidia Q1 FY2026 earnings (May 2025),6185 6203 6240 6252,,6252,6185 6203 6240 6252,
Broadcom Q1 FY2025 earnings (Mar 2025),3966 3984 4018 4021,3984,4021,3966 3984 4018 4021,3984
Intel CEO Gelsinger departure (Dec 2024),977 979 1022 1075 1085 1179 1228 1312,,1312,977 979 1022 1075 1085 1179 1228 1312,
Intel names Lip-Bu Tan CEO (Mar 2025),4177 4186 4196 4213 4235 4318 4335 4375,,4335,4177 4186 4196 4213 4235 4318 4335 4375,
Nvidia H20 China export ban & $5.5B charge (Apr 2025),4927 5014 5016 5025 5026 5033 5035 5036 5038 5043 5057 5061 5078 5079 5144 5159 5190 5196,,5196,4927 5014 5016 5025 5026 5033 5035 5036 5038 5043 5057 5061 5078 5079 5144 5159 5190 5196,
CoreWeave IPO debut (Mar-Apr 2025),4584 4587 4629 4645 4647,,4645,4584 4587 4629 4645 4647,
