id,header,Human_GT-manual,Act_GT,new_category GT,Current-in-DB,News/Not Flash-lite,News/Not Flash,Flash-lite only,Flash only,url_link
595,BEHIND A WIRE FENCE is a Love Letter to Minor League Baseball—Especially for New Yorkers Who Loved the Game in the 90s,book PR,NO,book PR,book PR,,,,,https://www.globenewswire.com/news-release/2024/11/19/2983909/0/en/BEHIND-A-WIRE-FENCE-is-a-Love-Letter-to-Minor-League-Baseball-Especially-for-New-Yorkers-Who-Loved-the-Game-in-the-90s.html
18290,The Secret to Out-Innovating the Competition: Inside the Tesla Playbook | The Motley Fool,recap/review,NO,recap/review,book PR,,,,,https://www.fool.com/investing/2026/04/11/the-secret-to-out-innovating-the-competition-inside-the-tesla-playbook/?source=iedfolrf0000001
5997,Lover of Music and Writer Debuts A Poetic Exploration of Life's Divine Inspirations,book PR,NO,book PR,book PR,,,,,https://www.globenewswire.com/news-release/2025/05/21/3086049/0/en/Lover-of-Music-and-Writer-Debuts-A-Poetic-Exploration-of-Life-s-Divine-Inspirations.html
4823,"Your End-All, Be-All Playbook on the Road to Success: How A Truck Driver Became A VP of a Fortune 500 Company",book PR,NO,book PR,book PR,,,,,https://www.globenewswire.com/news-release/2025/04/09/3058775/0/en/Your-End-All-Be-All-Playbook-on-the-Road-to-Success-How-A-Truck-Driver-Became-A-VP-of-a-Fortune-500-Company.html
7887,"A Journey Through Baltimore's Streets: Resilience, Poetry, and Soul",book PR,NO,book PR,book PR,,,,,https://www.globenewswire.com/news-release/2025/07/30/3124247/0/en/A-Journey-Through-Baltimore-s-Streets-Resilience-Poetry-and-Soul.html
3629,Learn Valuable Lessons on Family and Friendship in THE ADVENTURES OF ANDY THE ANT: An Exciting New Picture Book,book PR,NO,book PR,book PR,,,,,https://www.globenewswire.com/news-release/2025/02/25/3032234/0/en/Learn-Valuable-Lessons-on-Family-and-Friendship-in-THE-ADVENTURES-OF-ANDY-THE-ANT-An-Exciting-New-Picture-Book.html
15587,Wife Finishes and Posthumously Publishes Husband’s Heart-Pounding Action Thriller Following Two Friends Who Time Travel Into the Past,book PR,NO,book PR,book PR,,,,,https://www.globenewswire.com/news-release/2026/02/10/3235688/0/en/Wife-Finishes-and-Posthumously-Publishes-Husband-s-Heart-Pounding-Action-Thriller-Following-Two-Friends-Who-Time-Travel-Into-the-Past.html
12762,From Heartbreak to Hope: A Journey of Faith and Resilience,book PR,NO,book PR,book PR,,,,,https://www.globenewswire.com/news-release/2025/12/04/3200203/0/en/From-Heartbreak-to-Hope-A-Journey-of-Faith-and-Resilience.html
12627,Margarita's Colorful Adventures Celebrate Individuality and Resilience,book PR,NO,book PR,book PR,,,,,https://www.globenewswire.com/news-release/2025/12/02/3198237/0/en/Margarita-s-Colorful-Adventures-Celebrate-Individuality-and-Resilience.html
12638,Brett Bowers' Journey: Thriving in a World of Outgoing Talkers with His Golden Retriever,book PR,NO,book PR,book PR,,,,,https://www.globenewswire.com/news-release/2025/12/02/3198391/0/en/Brett-Bowers-Journey-Thriving-in-a-World-of-Outgoing-Talkers-with-His-Golden-Retriever.html
12558,"Userful Wins TITAN Platinum Business Award for SaaS Excellence, Underscoring Its Leadership in Critical Operational Infrastructure",conference-PR,NO,conference-PR,conference-PR,,,,,https://www.globenewswire.com/news-release/2025/12/01/3196785/0/en/Userful-Wins-TITAN-Platinum-Business-Award-for-SaaS-Excellence-Underscoring-Its-Leadership-in-Critical-Operational-Infrastructure.html
16032,Micron Shareholders Received Amazing News at a Recent Investor Conference | The Motley Fool,market speculation,NO,market speculation,conference-PR,,,,,https://www.fool.com/investing/2026/02/19/micron-shareholders-received-amazing-news-at-a-rec/?source=iedfolrf0000001
18516,World’s Top Data Technology Innovators Honored in 7th Annual Data Breakthrough Awards Program,conference-PR,NO,conference-PR,conference-PR,,,,,https://www.globenewswire.com/news-release/2026/04/16/3275509/0/en/World-s-Top-Data-Technology-Innovators-Honored-in-7th-Annual-Data-Breakthrough-Awards-Program.html
14682,KraneShares Cross-Lists KOID Humanoid Robotics ETF on Deutsche Börse Xetra Under Ticker KBOT,real news,YES,news-event,conference-PR,,,,,https://www.globenewswire.com/news-release/2026/01/23/3224437/0/en/KraneShares-Cross-Lists-KOID-Humanoid-Robotics-ETF-on-Deutsche-B%C3%B6rse-Xetra-Under-Ticker-KBOT.html
8134,Microsoft Highlights Gieni AI as Vertical AI Reference at Build 2025,conference-PR,NO,conference-PR,conference-PR,,,,,https://www.globenewswire.com/news-release/2025/08/06/3127996/0/en/Microsoft-Highlights-Gieni-AI-as-Vertical-AI-Reference-at-Build-2025.html
6195,"""Human vs AI"" and the Future of Insurance: Insurtech Insights USA 2025 Agenda Unveils Power-Packed Lineup of Industry Disruptors",conference-PR,NO,conference-PR,conference-PR,,,,,https://www.globenewswire.com/news-release/2025/05/28/3089754/0/en/Human-vs-AI-and-the-Future-of-Insurance-Insurtech-Insights-USA-2025-Agenda-Unveils-Power-Packed-Lineup-of-Industry-Disruptors.html
2754,"IPG Photonics to Showcase Innovative Fiber Laser Solutions for Micro-Machining, Cleaning, Scientific, and Advanced Applications at Photonics West 2025",conference-PR,NO,conference-PR,conference-PR,,,,,https://www.globenewswire.com/news-release/2025/01/29/3017227/0/en/IPG-Photonics-to-Showcase-Innovative-Fiber-Laser-Solutions-for-Micro-Machining-Cleaning-Scientific-and-Advanced-Applications-at-Photonics-West-2025.html
2766,O Tecnológico de Monterrey Cria Uma Rede Global e Compartilha Sua Plataforma TECgpt Para Promover a Adoção da IA na Educação,conference-PR,NO,conference-PR,conference-PR,,,,,https://www.globenewswire.com/news-release/2025/01/29/3017531/0/pt/O-Tecnol%C3%B3gico-de-Monterrey-Cria-Uma-Rede-Global-e-Compartilha-Sua-Plataforma-TECgpt-Para-Promover-a-Ado%C3%A7%C3%A3o-da-IA-na-Educa%C3%A7%C3%A3o.html
10266,BizClik Releases October 2025 Sustainability Portfolio Editions,conference-PR,NO,conference-PR,conference-PR,,,,,https://www.globenewswire.com/news-release/2025/10/07/3162894/0/en/BizClik-Releases-October-2025-Sustainability-Portfolio-Editions.html
15999,AssureSoft Joins the 2026 IAOP Global Outsourcing 100® List of the World’s Leading Providers,conference-PR,NO,conference-PR,conference-PR,,,,,https://www.globenewswire.com/news-release/2026/02/19/3241150/0/en/AssureSoft-Joins-the-2026-IAOP-Global-Outsourcing-100-List-of-the-World-s-Leading-Providers.html
4612,"Law Offices of Frank R. Cruz Encourages Ultra Clean Holdings, Inc. (UCTT) Investors To Inquire About Secu",legal solicitation,NO,legal-call,legal solicitation,,,,,https://www.benzinga.com/pressreleases/25/04/b44590157/law-offices-of-frank-r-cruz-encourages-ultra-clean-holdings-inc-uctt-investors-to-inquire-about-se
