id,header,new_category GT,Act GT,box_index,label,topic,insight,quotes,insight_GT,url_link
595,BEHIND A WIRE FENCE is a Love Letter to Minor League Baseball—Especially for New Yorkers Who Loved the Game in the 90s,book PR,NO,,,(no insights extracted),,,,https://www.globenewswire.com/news-release/2024/11/19/2983909/0/en/BEHIND-A-WIRE-FENCE-is-a-Love-Letter-to-Minor-League-Baseball-Especially-for-New-Yorkers-Who-Loved-the-Game-in-the-90s.html
18290,The Secret to Out-Innovating the Competition: Inside the Tesla Playbook | The Motley Fool,recap/review,NO,,,(no insights extracted),,,,https://www.fool.com/investing/2026/04/11/the-secret-to-out-innovating-the-competition-inside-the-tesla-playbook/?source=iedfolrf0000001
5997,Lover of Music and Writer Debuts A Poetic Exploration of Life's Divine Inspirations,book PR,NO,,,(no insights extracted),,,,https://www.globenewswire.com/news-release/2025/05/21/3086049/0/en/Lover-of-Music-and-Writer-Debuts-A-Poetic-Exploration-of-Life-s-Divine-Inspirations.html
4823,"Your End-All, Be-All Playbook on the Road to Success: How A Truck Driver Became A VP of a Fortune 500 Company",book PR,NO,,,(no insights extracted),,,,https://www.globenewswire.com/news-release/2025/04/09/3058775/0/en/Your-End-All-Be-All-Playbook-on-the-Road-to-Success-How-A-Truck-Driver-Became-A-VP-of-a-Fortune-500-Company.html
7887,"A Journey Through Baltimore's Streets: Resilience, Poetry, and Soul",book PR,NO,,,(no insights extracted),,,,https://www.globenewswire.com/news-release/2025/07/30/3124247/0/en/A-Journey-Through-Baltimore-s-Streets-Resilience-Poetry-and-Soul.html
3629,Learn Valuable Lessons on Family and Friendship in THE ADVENTURES OF ANDY THE ANT: An Exciting New Picture Book,book PR,NO,,,(no insights extracted),,,,https://www.globenewswire.com/news-release/2025/02/25/3032234/0/en/Learn-Valuable-Lessons-on-Family-and-Friendship-in-THE-ADVENTURES-OF-ANDY-THE-ANT-An-Exciting-New-Picture-Book.html
15587,Wife Finishes and Posthumously Publishes Husband’s Heart-Pounding Action Thriller Following Two Friends Who Time Travel Into the Past,book PR,NO,,,(no insights extracted),,,,https://www.globenewswire.com/news-release/2026/02/10/3235688/0/en/Wife-Finishes-and-Posthumously-Publishes-Husband-s-Heart-Pounding-Action-Thriller-Following-Two-Friends-Who-Time-Travel-Into-the-Past.html
12762,From Heartbreak to Hope: A Journey of Faith and Resilience,book PR,NO,,,(no insights extracted),,,,https://www.globenewswire.com/news-release/2025/12/04/3200203/0/en/From-Heartbreak-to-Hope-A-Journey-of-Faith-and-Resilience.html
12627,Margarita's Colorful Adventures Celebrate Individuality and Resilience,book PR,NO,,,(no insights extracted),,,,https://www.globenewswire.com/news-release/2025/12/02/3198237/0/en/Margarita-s-Colorful-Adventures-Celebrate-Individuality-and-Resilience.html
12638,Brett Bowers' Journey: Thriving in a World of Outgoing Talkers with His Golden Retriever,book PR,NO,,,(no insights extracted),,,,https://www.globenewswire.com/news-release/2025/12/02/3198391/0/en/Brett-Bowers-Journey-Thriving-in-a-World-of-Outgoing-Talkers-with-His-Golden-Retriever.html
12558,"Userful Wins TITAN Platinum Business Award for SaaS Excellence, Underscoring Its Leadership in Critical Operational Infrastructure",conference-PR,NO,,,(no insights extracted),,,,https://www.globenewswire.com/news-release/2025/12/01/3196785/0/en/Userful-Wins-TITAN-Platinum-Business-Award-for-SaaS-Excellence-Underscoring-Its-Leadership-in-Critical-Operational-Infrastructure.html
16032,Micron Shareholders Received Amazing News at a Recent Investor Conference | The Motley Fool,market speculation,NO,,,(no insights extracted),,,,https://www.fool.com/investing/2026/02/19/micron-shareholders-received-amazing-news-at-a-rec/?source=iedfolrf0000001
18516,World’s Top Data Technology Innovators Honored in 7th Annual Data Breakthrough Awards Program,conference-PR,NO,,,(no insights extracted),,,,https://www.globenewswire.com/news-release/2026/04/16/3275509/0/en/World-s-Top-Data-Technology-Innovators-Honored-in-7th-Annual-Data-Breakthrough-Awards-Program.html
14682,KraneShares Cross-Lists KOID Humanoid Robotics ETF on Deutsche Börse Xetra Under Ticker KBOT,news-event,YES,0,informative,ETF cross-listing on Xetra,"KraneShares has cross-listed its Global Humanoid & Embodied Intelligence Index UCITS ETF on Deutsche Börse Xetra under the ticker KBOT, making it available to German investors.","KraneShares, a global asset manager known for its innovative exchange-traded funds (ETFs), announced the cross-listing of the KraneShares Global Humanoid & Embodied Intelligence Index UCITS ETF on Deutsche Börse Xetra, where it will trade under the ticker KBOT.
The Xetra listing brings to German investors the same globally recognized strategy known under the ticker KOID, which is already listed on Nasdaq, the London Stock Exchange, and Borsa Italiana.",informative,https://www.globenewswire.com/news-release/2026/01/23/3224437/0/en/KraneShares-Cross-Lists-KOID-Humanoid-Robotics-ETF-on-Deutsche-B%C3%B6rse-Xetra-Under-Ticker-KBOT.html
8134,Microsoft Highlights Gieni AI as Vertical AI Reference at Build 2025,conference-PR,NO,0,informative,Gieni AI featured by Microsoft,"Orderfox's Gieni AI platform was highlighted by Microsoft at Build 2025 as a reference case for vertical AI integration using the new Model Context Protocol (MCP), demonstrating its ability to provide real-time market intelligence within Microsoft 365 tools.","Orderfox Schweiz AG announced that its market intelligence platform, Gieni AI, was featured as a reference case for vertical AI integration at Microsoft Build 2025.
The platform was selected to demonstrate Microsoft’s new Model Context Protocol (MCP), which allows AI agents to access and interact with other agents and software tools in real time.
During the Microsoft Build conference, Gieni AI was featured by Microsoft as a reference point for vertical AI integration, highlighting its role within the new Model Context Protocol (MCP) framework.",DROP,https://www.globenewswire.com/news-release/2025/08/06/3127996/0/en/Microsoft-Highlights-Gieni-AI-as-Vertical-AI-Reference-at-Build-2025.html
6195,"""Human vs AI"" and the Future of Insurance: Insurtech Insights USA 2025 Agenda Unveils Power-Packed Lineup of Industry Disruptors",conference-PR,NO,,,(no insights extracted),,,,https://www.globenewswire.com/news-release/2025/05/28/3089754/0/en/Human-vs-AI-and-the-Future-of-Insurance-Insurtech-Insights-USA-2025-Agenda-Unveils-Power-Packed-Lineup-of-Industry-Disruptors.html
2754,"IPG Photonics to Showcase Innovative Fiber Laser Solutions for Micro-Machining, Cleaning, Scientific, and Advanced Applications at Photonics West 2025",conference-PR,NO,0,informative,New fiber laser platform launch,"IPG Photonics is launching a new YLS-RI fiber laser platform with improved architecture, next-generation pump diodes, increased reliability, and a more compact design, aimed at enhancing performance for cutting applications.","IPG will present their new YLS-RI fiber laser platform built with an improved internal architecture to maximize performance and ease of integration.
this new high-power laser platform features next-generation pump diodes, increased reliability and optical stability, and a more compact design.",DROP,https://www.globenewswire.com/news-release/2025/01/29/3017227/0/en/IPG-Photonics-to-Showcase-Innovative-Fiber-Laser-Solutions-for-Micro-Machining-Cleaning-Scientific-and-Advanced-Applications-at-Photonics-West-2025.html
2754,"IPG Photonics to Showcase Innovative Fiber Laser Solutions for Micro-Machining, Cleaning, Scientific, and Advanced Applications at Photonics West 2025",conference-PR,NO,1,informative,New Adjustable Mode Beam laser,"IPG Photonics is showcasing a new Adjustable Mode Beam (AMB) laser as part of an integrated welding solution, designed to reduce weld defects and improve welding speed and quality.","IPG will showcase a new Adjustable Mode Beam (AMB) laser.
This dual-beam laser innovation will be presented as part of an integrated laser welding solution.
The solution utilizes AMB technology to virtually eliminate weld defects like spatter and porosity while integrated scanning optics and real-time weld measurement provide fast welding speeds and unmatched weld quality assurance.",DROP,https://www.globenewswire.com/news-release/2025/01/29/3017227/0/en/IPG-Photonics-to-Showcase-Innovative-Fiber-Laser-Solutions-for-Micro-Machining-Cleaning-Scientific-and-Advanced-Applications-at-Photonics-West-2025.html
2754,"IPG Photonics to Showcase Innovative Fiber Laser Solutions for Micro-Machining, Cleaning, Scientific, and Advanced Applications at Photonics West 2025",conference-PR,NO,2,informative,New laser cleaning solutions,"Following the acquisition of cleanLASER, IPG Photonics is expanding its laser cleaning offerings and will showcase nanosecond lasers for cleaning applications, highlighting their precision and reduced environmental impact.","With the recent acquisition of cleanLASER, IPG has further expanded the breadth and depth of their laser cleaning offering.
Representing part of a diverse array of laser cleaning solutions, IPG will bring nanosecond lasers ideally suited for cleaning applications.",DROP,https://www.globenewswire.com/news-release/2025/01/29/3017227/0/en/IPG-Photonics-to-Showcase-Innovative-Fiber-Laser-Solutions-for-Micro-Machining-Cleaning-Scientific-and-Advanced-Applications-at-Photonics-West-2025.html
2766,O Tecnológico de Monterrey Cria Uma Rede Global e Compartilha Sua Plataforma TECgpt Para Promover a Adoção da IA na Educação,conference-PR,NO,0,informative,AI Education Network Launch,"Tecnológico de Monterrey launched the AI Global Education Network (AIGEN) and is making its TECgpt AI ecosystem available to universities worldwide, starting with a pilot program in 10 institutions.","Para impulsionar a adoção da IA no ensino superior, o Tecnológico de Monterrey anunciou a criação da AI Global Education Network (AIGEN) e disponibilizou o TECgpt, seu ecossistema de IA generativa, para as universidades.
O anúncio foi feito na Conferência IFE, ""Impulsionando o Futuro da Educação com Inovação e Tecnologia"", realizado entre 28 e 30 de janeiro no Tecnológico de Monterrey.
Nossa aspiração é estender o valor do TECgpt além do Tecnológico de Monterrey para as universidades do mundo todo”, concluiu Abarca.",DROP,https://www.globenewswire.com/news-release/2025/01/29/3017531/0/pt/O-Tecnol%C3%B3gico-de-Monterrey-Cria-Uma-Rede-Global-e-Compartilha-Sua-Plataforma-TECgpt-Para-Promover-a-Ado%C3%A7%C3%A3o-da-IA-na-Educa%C3%A7%C3%A3o.html
2766,O Tecnológico de Monterrey Cria Uma Rede Global e Compartilha Sua Plataforma TECgpt Para Promover a Adoção da IA na Educação,conference-PR,NO,1,informative,TECgpt Usage Milestones,"Since its launch in September 2023, Tecnológico de Monterrey's TECgpt has been used by over 14,000 users, with its virtual assistant TECbot engaging over 81,000 users.","Desde o seu lançamento, o TECgpt alimentou soluções para mais de 14.000 usuários, enquanto o seu assistente virtual, o TECbot, se envolveu com mais de 81.000 usuários.",DROP,https://www.globenewswire.com/news-release/2025/01/29/3017531/0/pt/O-Tecnol%C3%B3gico-de-Monterrey-Cria-Uma-Rede-Global-e-Compartilha-Sua-Plataforma-TECgpt-Para-Promover-a-Ado%C3%A7%C3%A3o-da-IA-na-Educa%C3%A7%C3%A3o.html
10266,BizClik Releases October 2025 Sustainability Portfolio Editions,conference-PR,NO,,,(no insights extracted),,,,https://www.globenewswire.com/news-release/2025/10/07/3162894/0/en/BizClik-Releases-October-2025-Sustainability-Portfolio-Editions.html
15999,AssureSoft Joins the 2026 IAOP Global Outsourcing 100® List of the World’s Leading Providers,conference-PR,NO,,,(no insights extracted),,,,https://www.globenewswire.com/news-release/2026/02/19/3241150/0/en/AssureSoft-Joins-the-2026-IAOP-Global-Outsourcing-100-List-of-the-World-s-Leading-Providers.html
4612,"Law Offices of Frank R. Cruz Encourages Ultra Clean Holdings, Inc. (UCTT) Investors To Inquire About Secu",legal-call,NO,0,evidance-event,Ultra Clean Holdings financial results,"Ultra Clean Holdings reported financial results and disclosed 'demand softness' due to extended qualification timelines and inventory digestion, leading to a significant stock price drop. This indicates a bearish trend for the company.","On February 24, 2025, Ultra Clean reported its financial results for the fourth quarter and full year ended December 27, 2024.
In connection with its earnings, the Company revealed that it was facing ""demand softness"" in its business ""relat[ed] to extended qualification time lines and some inventory digestion.
On this news, Ultra Clean's stock price fell $10.16, or 28.2%, to close at $25.90 per share on February 25, 2025, thereby injuring investors.",evidance-event,https://www.benzinga.com/pressreleases/25/04/b44590157/law-offices-of-frank-r-cruz-encourages-ultra-clean-holdings-inc-uctt-investors-to-inquire-about-se
4897,"SOUN INVESTOR ALERT: Robbins Geller Rudman & Dowd LLP Announces that SoundHound AI, Inc. Investors with Substantial Losses Have Opportunity to Lead Investor Class Action Lawsuit",legal-call,NO,0,evidance-event,SEC filing delay and internal control issues,"SoundHound AI disclosed it cannot timely file its annual report due to accounting complexities from acquisitions and identified material weaknesses in internal controls, causing a stock price drop. This indicates potential financial reporting and integration issues.","SoundHound disclosed that it would be unable to timely file its annual report for 2024, stating that “[d]ue to the complexity of accounting for [the SYNQ3 and Amelia acquisitions], the Company require[d] additional time to prepare financial statements and the accompanying notes” and that SoundHound “ha[d] identified material weaknesses in its internal control over financial reporting.
On this news, the price of SoundHound stock fell nearly 6%, according to the complaint.",evidance-event,https://www.globenewswire.com/news-release/2025/04/12/3060397/0/en/SOUN-INVESTOR-ALERT-Robbins-Geller-Rudman-Dowd-LLP-Announces-that-SoundHound-AI-Inc-Investors-with-Substantial-Losses-Have-Opportunity-to-Lead-Investor-Class-Action-Lawsuit.html
168,IREN Investors Have Opportunity to Lead Iris Energy Limited Securities Fraud Lawsuit with the Schall Law,legal-call,NO,,,(no insights extracted),,,,https://www.benzinga.com/pressreleases/24/11/n41717862/iren-investors-have-opportunity-to-lead-iris-energy-limited-securities-fraud-lawsuit-with-the-scha
18883,"Bronstein, Gewirtz & Grossman LLC Urges Super Micro Computer, Inc. Investors to Act: Class Action Filed Alleging Investor Harm",legal-event,YES,0,evidance-event,Class action lawsuit filed,"A class action lawsuit has been filed against Super Micro Computer, Inc. and certain officers, alleging violations of federal securities laws related to undisclosed sales to China and non-compliance with export control laws.","The complaint alleges that throughout the Class Period, Defendants failed to disclose to investors that:
(1) a significant portion of the Company’s sales of servers were to companies based in China;
(2) these transactions violated U.S. export control laws;
(3) there were material weaknesses in the Company’s controls to ensure compliance with applicable export control laws and regulations; and
(4) that, as a result of the foregoing, Defendants’ positive statements about the Company’s business, operations, and prospects were materially misleading and/or lacked a reasonable basis.",evidance-event,https://www.globenewswire.com/news-release/2026/04/24/3280961/9788/en/Bronstein-Gewirtz-Grossman-LLC-Urges-Super-Micro-Computer-Inc-Investors-to-Act-Class-Action-Filed-Alleging-Investor-Harm.html
1195,"AEHR Investors Have Opportunity to Lead Aehr Test Systems, Inc. Securities Fraud Lawsuit with the Schall",legal-call,NO,,,(no insights extracted),,,,https://www.benzinga.com/pressreleases/24/12/n42391860/aehr-investors-have-opportunity-to-lead-aehr-test-systems-inc-securities-fraud-lawsuit-with-the-sc
3550,"MU INVESTOR ALERT: Bronstein, Gewirtz & Grossman LLC Announces that Micron Technology, Inc. Investors with Substantial Losses Have Opportunity to Lead Class Action Lawsuit",legal-event,YES,0,evidance-event,Class action lawsuit filed,"A class action lawsuit has been filed against Micron Technology, Inc. and certain officers, alleging materially false and misleading statements regarding the company's business, operations, and prospects, specifically concerning demand for its products in consumer markets and NAND products. This is a bearish development for the company.","A class action lawsuit has already been filed.
The Complaint alleges that the Defendants made materially false and misleading statements regarding the Company's business, operations, and prospects.
Specifically, the Complaint alleges that Defendants made false and/or misleading statements and/or failed to disclose that: (1) demand for Micron's products in consumer markets, especially the Company's NAND products, had significantly deteriorated; (2) accordingly, Defendants had overstated the extent to which demand for Micron's products had recovered, particularly in consumer markets and for its NAND products, and/or had overstated the sustainability of demand for such products, as well as the normalization of inventory for such products; and (3) as a result, the Company's public statements were materially false and misleading at all relevant times.",evidance-event,https://www.globenewswire.com/news-release/2025/02/23/3030829/9788/en/MU-INVESTOR-ALERT-Bronstein-Gewirtz-Grossman-LLC-Announces-that-Micron-Technology-Inc-Investors-with-Substantial-Losses-Have-Opportunity-to-Lead-Class-Action-Lawsuit.html
