article_id,published_et,market_date,primary_ticker,more_tickers,category,vix,sp500_mae_10d_pct,nasdaq_mae_10d_pct,title
114,2024-11-01 21:30,2024-11-01,INTC,NVDA|MSFT,real news,21.88,0.454,0.853,Nvidia Stock Is Joining the Dow Jones Industrial Average Stock Index and Intel Is Being Booted | The Motley Fool
149,2024-11-03 12:45,2024-11-01,GOOG,GOOGL|AMD,real news,21.88,0.454,0.853,"Google Delivers New AI Features To Maps, Google Earth, Waze Apps - Alphabet (NASDAQ:GOOGL)"
173,2024-11-04 11:37,2024-11-04,MSFT,,real news,21.98,0.459,0.859,"Constellation Energy Q3: Earnings Beat, Revised FY24 EPS Guidance & More - Constellation Energy (NASDAQ:C"
197,2024-11-05 05:55,2024-11-05,AVGO,,real news,20.49,0.574,0.983,"Broadcom Powers Telia's Modernization with VMware, Launches AI-Driven VeloRAIN & More - Broadcom (NASDAQ:"
209,2024-11-05 10:00,2024-11-05,NOK,,real news,20.49,0.574,0.983,Nokia and Elisa become first in Europe to trial 100G PON over live fiber broadband network
218,2024-11-05 16:15,2024-11-05,MCHP,,real news,20.49,0.574,0.983,Microchip Technology Increases Quarterly Cash Dividend 3.6% Year-Over-Year to 45.5 Cents Per Share - Micr
224,2024-11-05 21:25,2024-11-05,AMZN,,real news,20.49,0.574,0.983,"Jeff Bezos Sells $214M Worth Of Amazon Shares In Latest Stock Move, Here's How Much He Still Owns - Amazo"
451,2024-11-14 07:30,2024-11-14,BELFA,BELFB,real news,14.31,0.664,0.816,"Bel Closes Its Previously Announced Acquisition of Enercon Technologies - Bel Fuse (NASDAQ:BELFA), Bel Fu"
452,2024-11-14 08:03,2024-11-14,MCHP,NVDA,real news,14.31,0.664,0.816,Microchip to Accelerate Real-time Edge AI with NVIDIA Holoscan
454,2024-11-14 09:11,2024-11-14,GOOG,GOOGL|MSFT|NVDA,real news,14.31,0.664,0.816,The INX Digital Company Reports Q3 2024 Financial Results - INX Digital Co Inc (OTC:INXDF)
556,2024-11-18 13:03,2024-11-18,CSCO,,real news,15.58,0.769,0.986,Cisco's 5.5-Year Pact With MGM Resorts Brings Next-Gen Tech To The Casino Floor And Beyond - Cisco System
555,2024-11-18 17:54,2024-11-18,GEV,,real news,15.58,0.769,0.986,"Woodward Signs Agreement to Divest Its Heavy Duty Gas Turbines Combustion Parts Business Based in Greenville, S.C., to GE Vernova"
565,2024-11-18 17:54,2024-11-18,GEV,,real news,15.58,0.769,0.986,Woodward Signs Agreement to Divest Its Heavy Duty Gas Turbines Combustion Parts Business Based in Greenvi
568,2024-11-19 03:30,2024-11-19,NVDA,,real news,16.35,0.685,0.948,Temenos powers on-premises generative AI for real-time banking with NVIDIA accelerated computing
573,2024-11-19 06:00,2024-11-19,COHR,INTC,real news,16.35,0.685,0.948,Tower Semiconductor Begins Production of 1.6Tbps Optical Transceivers on its Latest Silicon Photonics Platform
587,2024-11-19 13:00,2024-11-19,MSFT,,real news,16.35,0.685,0.948,Cribl Now Available in the Microsoft Azure Marketplace
608,2024-11-19 17:00,2024-11-19,HUBB,,real news,16.35,0.685,0.948,Garrick J. Rochow Elected to the Hubbell Incorporated Board of Directors
613,2024-11-20 02:30,2024-11-20,NOK,,real news,17.16,0.439,0.664,Nokia wins multi-billion 5G extension deal from Bharti Airtel for its India operations
623,2024-11-20 08:00,2024-11-20,GOOG,GOOGL|MSFT,real news,17.16,0.439,0.664,Rezolve Ai and Google Sign Strategic Partnership to Revolutionize Retail and Consumer Commerce with Exclusive AI-Powered Solutions
645,2024-11-20 17:08,2024-11-20,MSFT,,real news,17.16,0.439,0.664,"Hedge Funder Linked To Credit Suisse Collapse Gets 18 Year Prison Sentence For Fraud, Market Manipulation"
664,2024-11-21 09:22,2024-11-21,HPE,NVDA,real news,16.87,0.416,0.517,HPE Powers RWE's Renewable Energy with AI Weather Modeling - Hewlett Packard (NYSE:HPE)
671,2024-11-21 09:43,2024-11-21,AMAT,,real news,16.87,0.416,0.517,Breaking New Ground In OLED: Applied Materials Unveils MAX OLED Solution For Bigger Displays - Applied Ma
680,2024-11-21 16:15,2024-11-21,AMZN,GOOG|GOOGL|MSFT|NVDA,real news,16.87,0.416,0.517,"Google, Anthropic Deal In Jeopardy As US Justice Department Looks To Snap Online Search Monopoly - Amazon"
685,2024-11-22 00:01,2024-11-22,AMZN,,real news,15.24,0.403,0.524,Amazon At Risk Of Major Fine As EU Investigates Alleged Preference For In-House Products Under Digital Ma
694,2024-11-22 04:45,2024-11-22,NOK,,real news,15.24,0.403,0.524,Nokia Board of Directors resolved on issuing shares without consideration to the company and a subsequent directed issuance related to the planned completion of the Infinera Corporation acquisition
690,2024-11-22 04:45,2024-11-22,NOK,,real news,15.24,0.403,0.524,Nokian hallitus päätti maksuttomasta osakeannista yhtiölle ja myöhemmin toteutettavasta suunnatusta osakeannista liittyen Infineran hankinnan suunniteltuun loppuunsaattamiseen
697,2024-11-22 08:00,2024-11-22,GOOG,GOOGL|MSFT,real news,15.24,0.403,0.524,Rezolve Ai Strengthens Position in $7.6 Billion Conversational Commerce Market (Expected to Reach $34.41 Billion by 2034) following Strategic Partnerships with Microsoft and Google
803,2024-11-26 11:12,2024-11-26,NOK,,real news,14.1,0.449,0.599,"Nokia, du Complete Transport Network Slicing Trial In UAE: Details - Nokia (NYSE:NOK)"
815,2024-11-27 03:30,2024-11-27,NOK,,real news,14.1,0.474,0.633,Nokia wins new deal with Deutsche Telekom to roll out large-scale commercial O-RAN network in Germany
860,2024-11-28 07:00,2024-11-27,NVDA,,real news,14.1,0.474,0.633,NextGen Digital Expands Cloud AI Hosting Fleet and Launches Marketing Campaign for PCSections.com
952,2024-12-02 08:00,2024-12-02,APLD,,real news,13.34,0.362,0.525,"Applied Digital Closes $150 million Senior Secured Note With Macquarie Equipment Capital, Inc. to Refinance Existing Credit Facility With Former Senior Lender"
990,2024-12-03 11:17,2024-12-03,CDNS,,real news,13.3,0.326,0.505,Space-Based Internet Gets A Boost: AST SpaceMobile And Cadence Collaborate On High-Bandwidth Satellite Ch
1004,2024-12-04 06:00,2024-12-04,NOK,,real news,13.45,0.351,0.531,Kyndryl and Nokia announce expanded portfolio of partnership solutions to bring advanced data center networking services to enterprises
1056,2024-12-05 08:18,2024-12-05,META,,real news,13.54,0.364,0.537,"Meta Readies $10 Billion AI Data Center in Louisiana, Its Largest Facility Globally - Meta Platforms (NAS"
1070,2024-12-05 12:35,2024-12-05,NVDA,,real news,13.54,0.364,0.537,NVIDIA to Open Vietnam R&D Center to Bolster AI Development
1072,2024-12-05 13:03,2024-12-05,AMZN,,real news,13.54,0.364,0.537,"Amazon Blasts Lawsuit Over Alleged Slow Deliveries To Certain Zip Codes, Tells AG: 'We're Protecting Driv"
1114,2024-12-06 14:08,2024-12-06,AMZN,,real news,12.77,0.33,0.615,Blue Shield's $500 Million Drug Savings Initiative With Amazon Pharmacy Can Potentially Launch In January
1121,2024-12-06 16:15,2024-12-06,CARR,,real news,12.77,0.33,0.615,Carrier Board of Directors Announces an 18 Percent Increase in Quarterly Dividend to $0.225 per Share - C
1190,2024-12-09 08:02,2024-12-09,PLTR,,real news,14.19,0.35,0.66,Palantir Jumps After Securing USSOCOM Contract Boost - What's Going On? - Palantir Technologies (NASDAQ:P
1186,2024-12-09 09:00,2024-12-09,AMZN,,real news,14.19,0.35,0.66,Battery Tender Introduces Line of Chargers for Golf Carts
1192,2024-12-09 10:12,2024-12-09,TXN,,real news,14.19,0.35,0.66,LeddarTech Rockets As Texas Instruments Backs AI-Driven ADAS Tech With Royalty Deal
1199,2024-12-09 16:30,2024-12-09,COHR,,real news,14.19,0.35,0.66,Coherent Announces General Availability of Industrial Temperature Range 100G ZR QSFP28-DCO
1222,2024-12-10 11:00,2024-12-10,STM,LNVGY|META,real news,14.18,0.347,0.658,STMicroelectronics accélère l’IA embarquée avec ses nouveaux microcontrôleurs STM32 dotés d’un processeur neuronal
